
GSM name	Strain	
GSM36707	BXD1	BXD 1_M7SS02080615
GSM36708	BXD1	BXD 1_M7SS02080616
GSM36703	BXD2	BXD 2_M7SS02080611
GSM36704	BXD2	BXD 2_M7SS02080612
GSM36711	BXD5	BXD 5_M7SS02080619
GSM36712	BXD5	BXD 5_M7SS02080620
GSM36673	BXD6	BXD6_M7SS02042201
GSM36674	BXD6	BXD6_M7SS02042202
GSM36675	BXD8	BXD8_M7SS02042203
GSM36676	BXD8	BXD8_M7SS02042204
GSM36699	BXD9	BXD 9_M7SS02080607
GSM36700	BXD9	BXD 9_M7SS02080608
GSM36677	BXD11	BXD11_M7SS02042205
GSM36678	BXD11	BXD11_M7SS02042206
GSM36679	BXD12	BXD12_M7SS02042207
GSM36680	BXD12	BXD12_M7SS02042208
GSM36713	BXD14	BXD 14_M7SS02080621
GSM36714	BXD14	BXD 14_M7SS02080622
GSM36705	BXD16	BXD 16_M7SS02080613
GSM36706	BXD16	BXD 16_M7SS02080614
GSM36693	BXD18	BXD 18_M7SS02080601
GSM36694	BXD18	BXD 18_M7SS02080602
GSM36697	BXD19	BXD 19_M7SS02080605
GSM36698	BXD19	BXD 19_M7SS02080606
GSM36695	BXD21	BXD 21_M7SS02080603
GSM36696	BXD21	BXD 21_M7SS02080604
GSM36715	BXD28	BXD 28_M7SS02080623
GSM36716	BXD28	BXD 28_M7SS02080624
GSM36681	BXD31	BXD31_M7SS02042209
GSM36682	BXD31	BXD31_M7SS02042210
GSM36691	BXD32	BXD32_M7SS02042219
GSM36692	BXD32	BXD32_M7SS02042220
GSM36683	BXD33	BXD33_M7SS02042211
GSM36684	BXD33	BXD33_M7SS02042212
GSM36709	BXD34	BXD 34_M7SS02080617
GSM36710	BXD34	BXD 34_M7SS02080618
GSM36685	BXD38	BXD38_M7SS02042213
GSM36686	BXD38	BXD38_M7SS02042214
GSM36701	BXD39	BXD 39_M7SS02080609
GSM36702	BXD39	BXD 39_M7SS02080610
GSM36687	BXD40	BXD40_M7SS02042215
GSM36688	BXD40	BXD40_M7SS02042216
GSM36689	BXD42	BXD42_M7SS02042217
GSM36690	BXD42	BXD42_M7SS02042218
