Symbol,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD23,BXD27,BXD28,BXD29,BXD31,BXD33,BXD36,BXD40,BXD42
0610005H09Rik,6.96077417,6.896539882,7.562560069,7.577808807,7.829544714,7.096886101,7.711692929,7.647623217,7.651881925,7.734397443,7.822843821,7.631427004,7.658029768,7.7659016,7.516430627,7.733955221,7.371240822,7.651061535,8.094586057,8.252534623,7.375776837
0610005K03Rik,7.66179396,7.66638418,7.928899269,7.9888443,7.882972852,7.65926835,7.786212787,7.787414242,8.152208561,8.030581242,7.836622495,8.056267264,7.92065651,7.900948176,7.781489244,7.86963287,7.58193109,7.780240869,7.908074159,7.922677568,7.836622495
0610006I08Rik,8.875240432,8.76272057,9.421045427,8.825491536,9.091117213,8.499736267,9.129116689,9.026674372,8.602552886,9.043344748,8.808420074,8.77775342,8.992151692,8.907505657,8.954717138,8.716597693,9.04788919,8.8010456345,9.174790096,8.92450295,8.853475189
0610006K04Rik,9.438693228,9.243385655,9.756048906,9.374630291,9.571305932,9.340358369,9.737258378,9.855637322,9.487117474,9.800445306,9.622903115,9.639079826,9.743344894,9.511634463,9.790792502,9.644614853,9.646600618,9.608165545999999,9.681017549,9.686598438,9.459321032
0610007A15Rik,7.602563296,7.594102978,7.850640209,7.270923784,7.622433609,7.248913537,7.546615248,7.635080467,7.623268135,7.47007233,7.580262905,7.693499279,7.398173918,7.427835567,7.338654274,7.45510172,7.478714253,7.635977442,7.645716079,7.319945416,7.532734451
0610007C21Rik,10.92718141,11.26186097,11.29339528,11.39555975,11.26920106,11.05696466,11.47317881,11.15967425,11.30054518,11.39606412,11.44606832,10.88543063,11.34709339,11.49946445,11.21882947,11.4892709,11.31515801,11.15410452,11.27761962,11.68585495,10.78661884
0610007H07Rik,12.11648617,12.07930217,12.04372902,12.25026419,12.0521808,12.20802656,12.1981272,12.13768883,12.2223198,12.02642487,12.0601741,11.98699865,12.03115601,12.07623594,12.07294876,12.52512055,12.47952204,12.151271355,12.01856292,12.19638291,12.18475204
0610007J10Rik,10.08596614,10.21342632,10.11696389,10.53661886,10.2110836,9.855637322,10.19320724,9.92297301,10.18190751,9.958663476,10.23979472,9.406736484,10.23360942,10.29002965,10.20204875,10.0962543,10.20987443,9.967483092,10.09405294,10.41272836,9.433657496
0610007P06Rik,9.793953712,9.723641418,9.823363327,9.887567295,9.796478037,9.566192856,9.94917837,9.996670063,9.960320539,9.670956379,9.987252058,9.317737024,9.895574209,9.896094978,9.786719278,10.01686482,10.17427783,9.61014191,9.808503537,10.07628647,9.564273852
0610007P14Rik,9.4516165375,9.0747170645,9.1549089285,9.550517711,9.061685903,9.316293537,9.5732930685,9.2942128845,9.4523347875,9.196419193,9.439315985,8.6505427385,9.548404276,9.3914121275,9.5140772805,9.5438063605,9.8510725535,9.183890788749999,9.3779449235,9.492312166000001,8.659944884
0610007P22Rik,8.46439745675,9.04113124325,8.75781787425,8.887148011499999,9.06083957775,8.80737928725,8.503719658,8.91711957575,9.1511785945,8.962496374,8.67339684375,8.9130947775,8.94562402925,8.944124988,8.56350015275,9.27456501525,8.804446266,8.534947046749998,8.580079853,8.88229521325,8.837927621
0610008A10Rik,8.581123157,8.554332676,8.304857661,8.0387608825,8.513429437,8.317567838999999,8.419029988,8.373609345,7.987642421,8.71089871,8.172136672,9.221940473,8.451289880000001,8.4221016825,8.231556801,7.910254348,8.187812882,8.524485781500001,8.209779662999999,8.2790388625,8.930468314999999
0610008L17Rik,6.852138221,6.875195532,7.119484329,6.670917837,6.630833613,6.860466104,6.717971335,6.768526035,6.9507548,6.741473981,7.110844614,7.033082592,6.805552532,7.00779415,6.774604621,7.27810265,6.859239839,6.9852308425,6.692345584,6.622547831,6.907559862
